Date,IT Department,Cost Element,Country,Actual
1/07/2020,Administration,Employee Performance,USA,651
1/07/2020,Administration,External Labor,United Kingdom,"2,099"
1/07/2020,Administration,External Labor,USA,"61,941"
1/07/2020,Administration,Hardware,USA,443
1/07/2020,Administration,Internal Labor,Germany,"2,461"
1/07/2020,Administration,Internal Labor,Italy,"4,608"
1/07/2020,Administration,Internal Labor,United Kingdom,"22,221"
1/07/2020,Administration,Internal Labor,USA,"91,581"
1/07/2020,Administration,Legal,USA,46
1/07/2020,Administration,Moving,USA,"9,554"
1/07/2020,Administration,Other,USA,"-1,460"
1/07/2020,Administration,Outbound Allocations,United Kingdom,714
1/07/2020,Administration,Severance,Italy,265
1/07/2020,Administration,Software,USA,18
1/07/2020,Administration,Software Maintenance,USA,15
1/07/2020,Administration,Supplies,USA,130
1/07/2020,Administration,Telecomm,Italy,74
1/07/2020,Administration,Telecomm,USA,883
1/07/2020,Administration,Training,USA,218
1/07/2020,Administration,Travel,USA,"10,725"
1/07/2020,Architecture,Depreciation,USA,693
1/07/2020,Architecture,Employee Performance,USA,4
1/07/2020,Architecture,Hardware,USA,854
1/07/2020,Architecture,Internal Labor,USA,"40,477"
1/07/2020,Architecture,Moving,USA,88
1/07/2020,Architecture,Other,USA,"-1,627"
1/07/2020,Architecture,Software,USA,36
1/07/2020,Architecture,Software Maintenance,USA,30
1/07/2020,Architecture,Supplies,USA,7
1/07/2020,Architecture,Taxes,USA,44
1/07/2020,Architecture,Telecomm,USA,437
1/07/2020,Architecture,Training,USA,65
1/07/2020,Architecture,Travel,USA,587
1/07/2020,Business Intelligence,CAPEX,USA,15
1/07/2020,Business Intelligence,Employee Performance,USA,144
1/07/2020,Business Intelligence,External Labor,USA,"12,807"
1/07/2020,Business Intelligence,Internal Labor,USA,"63,880"
1/07/2020,Business Intelligence,Moving,USA,"1,330"
1/07/2020,Business Intelligence,Other,USA,61
1/07/2020,Business Intelligence,Software,USA,250
1/07/2020,Business Intelligence,Software Maintenance,USA,207
1/07/2020,Business Intelligence,Supplies,USA,6
1/07/2020,Business Intelligence,Telecomm,USA,311
1/07/2020,Business Intelligence,Training,USA,150
1/07/2020,Business Intelligence,Travel,USA,459
1/07/2020,Core,External Labor,USA,"32,987"
1/07/2020,Core,Internal Labor,USA,"20,089"
1/07/2020,Core,Other,USA,540
1/07/2020,Core,Telecomm,USA,652
1/07/2020,Core,Training,USA,44
1/07/2020,Core,Travel,USA,"5,789"
1/07/2020,Core Infrastructure,Amortization,Mexico,"1,366"
1/07/2020,Core Infrastructure,Depreciation,Brazil,"13,054"
1/07/2020,Core Infrastructure,Depreciation,Canada,"4,935"
1/07/2020,Core Infrastructure,Depreciation,Mexico,"3,686"
1/07/2020,Core Infrastructure,Depreciation,New Zealand,"9,511"
1/07/2020,Core Infrastructure,Depreciation,USA,378
1/07/2020,Core Infrastructure,Employee Performance,USA,49
1/07/2020,Core Infrastructure,External Labor,Brazil,"24,280"
1/07/2020,Core Infrastructure,External Labor,Canada,"19,948"
1/07/2020,Core Infrastructure,External Labor,Mexico,"27,235"
1/07/2020,Core Infrastructure,External Labor,New Zealand,"3,258"
1/07/2020,Core Infrastructure,External Labor,USA,"240,083"
1/07/2020,Core Infrastructure,Hardware,Brazil,"1,263"
1/07/2020,Core Infrastructure,Hardware,Canada,694
1/07/2020,Core Infrastructure,Hardware,Mexico,"18,443"
1/07/2020,Core Infrastructure,Hardware,New Zealand,"28,941"
1/07/2020,Core Infrastructure,Hardware,USA,360
1/07/2020,Core Infrastructure,Hardware Maintenance,Brazil,"8,434"
1/07/2020,Core Infrastructure,Hardware Maintenance,Mexico,"22,460"
1/07/2020,Core Infrastructure,Hardware Maintenance,New Zealand,"1,285"
1/07/2020,Core Infrastructure,Inbound Allocations,New Zealand,"9,167"
1/07/2020,Core Infrastructure,Internal Labor,Brazil,"11,303"
1/07/2020,Core Infrastructure,Internal Labor,Canada,"2,013"
1/07/2020,Core Infrastructure,Internal Labor,Mexico,"2,900"
1/07/2020,Core Infrastructure,Internal Labor,New Zealand,"37,694"
1/07/2020,Core Infrastructure,Internal Labor,Switzerland,"3,054"
1/07/2020,Core Infrastructure,Internal Labor,USA,"40,438"
1/07/2020,Core Infrastructure,Moving,USA,"8,783"
1/07/2020,Core Infrastructure,Other,Brazil,"11,836"
1/07/2020,Core Infrastructure,Other,Canada,2
1/07/2020,Core Infrastructure,Other,Mexico,"7,259"
1/07/2020,Core Infrastructure,Other,New Zealand,229
1/07/2020,Core Infrastructure,Other,USA,872
1/07/2020,Core Infrastructure,Severance,Brazil,704
1/07/2020,Core Infrastructure,Severance,New Zealand,556
1/07/2020,Core Infrastructure,Supplies,Brazil,26
1/07/2020,Core Infrastructure,Supplies,Canada,"2,494"
1/07/2020,Core Infrastructure,Supplies,Mexico,26
1/07/2020,Core Infrastructure,Supplies,New Zealand,829
1/07/2020,Core Infrastructure,Supplies,USA,111
1/07/2020,Core Infrastructure,Taxes,USA,9
1/07/2020,Core Infrastructure,Telecomm,Brazil,396
1/07/2020,Core Infrastructure,Telecomm,Canada,"1,754"
1/07/2020,Core Infrastructure,Telecomm,Mexico,"1,832"
1/07/2020,Core Infrastructure,Telecomm,New Zealand,"6,306"
1/07/2020,Core Infrastructure,Telecomm,Switzerland,35
1/07/2020,Core Infrastructure,Telecomm,USA,406
