Date,IT Department,Cost Element,Country,Actual
1/03/2020,Administration,Employee Performance,USA,150
1/03/2020,Administration,External Labor,United Kingdom,"2,218"
1/03/2020,Administration,External Labor,USA,"96,906"
1/03/2020,Administration,Hardware,USA,"2,901"
1/03/2020,Administration,Inbound Allocations,United Kingdom,666
1/03/2020,Administration,Internal Labor,Germany,"30,764"
1/03/2020,Administration,Internal Labor,Italy,"2,193"
1/03/2020,Administration,Internal Labor,United Kingdom,"21,311"
1/03/2020,Administration,Internal Labor,USA,"116,809"
1/03/2020,Administration,Legal,USA,562
1/03/2020,Administration,Moving,USA,867
1/03/2020,Administration,Other,Italy,-30
1/03/2020,Administration,Other,United Kingdom,13
1/03/2020,Administration,Other,USA,"29,563"
1/03/2020,Administration,Outbound Allocations,United Kingdom,717
1/03/2020,Administration,Severance,Italy,"-42,763"
1/03/2020,Administration,Supplies,USA,466
1/03/2020,Administration,Telecomm,Italy,82
1/03/2020,Administration,Telecomm,United Kingdom,215
1/03/2020,Administration,Telecomm,USA,"1,073"
1/03/2020,Administration,Training,Germany,"4,064"
1/03/2020,Administration,Training,USA,88
1/03/2020,Administration,Travel,Germany,95
1/03/2020,Administration,Travel,USA,"10,518"
1/03/2020,Architecture,Depreciation,USA,693
1/03/2020,Architecture,Employee Performance,USA,4
1/03/2020,Architecture,Hardware,USA,240
1/03/2020,Architecture,Internal Labor,USA,"45,385"
1/03/2020,Architecture,Other,USA,"-1,583"
1/03/2020,Architecture,Supplies,USA,27
1/03/2020,Architecture,Taxes,USA,44
1/03/2020,Architecture,Telecomm,USA,516
1/03/2020,Architecture,Training,USA,"1,106"
1/03/2020,Architecture,Travel,USA,"1,649"
1/03/2020,Business Intelligence,CAPEX,USA,"-4,080"
1/03/2020,Business Intelligence,Employee Performance,USA,75
1/03/2020,Business Intelligence,External Labor,USA,"8,366"
1/03/2020,Business Intelligence,Hardware,USA,426
1/03/2020,Business Intelligence,Internal Labor,USA,"70,502"
1/03/2020,Business Intelligence,Other,USA,2
1/03/2020,Business Intelligence,Supplies,USA,336
1/03/2020,Business Intelligence,Telecomm,USA,368
1/03/2020,Business Intelligence,Training,USA,264
1/03/2020,Core,External Labor,USA,"-1,723"
1/03/2020,Core,Hardware,USA,10
1/03/2020,Core,Internal Labor,USA,"23,722"
1/03/2020,Core,Telecomm,USA,232
1/03/2020,Core,Travel,USA,"3,773"
1/03/2020,Core Infrastructure,Amortization,Mexico,"1,002"
1/03/2020,Core Infrastructure,Depreciation,Brazil,"13,464"
1/03/2020,Core Infrastructure,Depreciation,Canada,"7,037"
1/03/2020,Core Infrastructure,Depreciation,Mexico,"3,773"
1/03/2020,Core Infrastructure,Depreciation,New Zealand,"5,959"
1/03/2020,Core Infrastructure,Employee Performance,USA,600
1/03/2020,Core Infrastructure,External Labor,Brazil,"15,448"
1/03/2020,Core Infrastructure,External Labor,Canada,"20,583"
1/03/2020,Core Infrastructure,External Labor,Mexico,"7,266"
1/03/2020,Core Infrastructure,External Labor,New Zealand,"21,891"
1/03/2020,Core Infrastructure,External Labor,USA,"-157,919"
1/03/2020,Core Infrastructure,Hardware,Brazil,"1,195"
1/03/2020,Core Infrastructure,Hardware,Mexico,"2,618"
1/03/2020,Core Infrastructure,Hardware,New Zealand,"22,247"
1/03/2020,Core Infrastructure,Hardware,USA,"2,883"
1/03/2020,Core Infrastructure,Hardware Maintenance,Brazil,"5,142"
1/03/2020,Core Infrastructure,Hardware Maintenance,Canada,588
1/03/2020,Core Infrastructure,Hardware Maintenance,Mexico,"12,115"
1/03/2020,Core Infrastructure,Hardware Maintenance,New Zealand,913
1/03/2020,Core Infrastructure,Hardware Maintenance,USA,183
1/03/2020,Core Infrastructure,Internal Labor,Brazil,"16,379"
1/03/2020,Core Infrastructure,Internal Labor,Mexico,"2,058"
1/03/2020,Core Infrastructure,Internal Labor,New Zealand,"39,022"
1/03/2020,Core Infrastructure,Internal Labor,Switzerland,"10,011"
1/03/2020,Core Infrastructure,Internal Labor,USA,"57,769"
1/03/2020,Core Infrastructure,Moving,USA,"1,169"
1/03/2020,Core Infrastructure,Other,Brazil,"12,427"
1/03/2020,Core Infrastructure,Other,Mexico,"6,210"
1/03/2020,Core Infrastructure,Other,New Zealand,"74,472"
1/03/2020,Core Infrastructure,Other,Switzerland,10
1/03/2020,Core Infrastructure,Other,USA,-107
1/03/2020,Core Infrastructure,Recognition,New Zealand,21
1/03/2020,Core Infrastructure,Severance,Brazil,891
1/03/2020,Core Infrastructure,Severance,New Zealand,956
1/03/2020,Core Infrastructure,Software Maintenance,USA,"6,301"
